story_id,author_id
1204,522
1205,523
1206,524
1209,525
1210,526
1212,527
1216,528
1219,529
1220,530
1221,531
1222,532
1223,533
1224,534
1225,535
1226,536
1227,537
1228,538
1231,539
1232,540
1233,541
1234,542
1235,543
1236,544
1237,545
1238,546
1239,547
1240,548
1241,549
1242,550
1243,551
1244,552
1245,553
1246,554
1247,555
1251,556
1252,557
1253,558
1254,559
1255,560
1256,561
1257,562
1259,563
1260,564
1261,565
1263,566
1264,567
1265,568
1266,569
1267,570
1268,571
1269,572
1270,573
1271,574
1272,575
1273,576
1274,577
1275,578
1277,579
1278,580
1286,581
1287,582
1288,583
1290,584
1291,585
1292,586
1293,587
1295,588
1296,589
1297,590
1298,591
1299,592
1300,593
1301,594
1302,595
1304,596
1305,597
1306,598
1307,599
1308,600
1309,601
1310,602
1311,603
1312,604
1313,605
1317,606
1318,607
1319,608
1321,609
1322,610
1323,611
1324,612
1325,613
1326,614
1329,615
1330,616
1331,617
1332,618
1334,619
1335,620
1336,621
1337,622
1338,623
1339,624
1340,625
1343,626
1345,627
1346,628
1347,629
1348,630
1349,631
1351,632
1352,633
1353,634
1355,635
1357,636
1358,637
1359,638
1360,639
1361,640
1363,641
1364,642
1365,643
1368,644
1369,645
1370,646
1371,647
1372,648
1373,649
1374,650
1375,651
1376,652
1377,653
1378,654
1379,655
1380,656
1381,657
1382,658
1383,659
1384,660
1385,661
1386,662
1387,663
1388,664
1389,665
1390,666
1391,667
1392,668
1394,669
1395,670
1396,671
1397,672
1399,673
1400,674
1401,675
1403,676
1406,677
1407,678
1408,679
1410,680
1411,681
1412,682
1413,683
1414,684
1416,685
1417,686
1418,687
1419,688
1420,689
1421,690
1422,691
1423,692
1424,693
1425,694
1427,695
1429,696
1431,697
1432,698
1433,699
1435,700
1436,701
1437,702
1439,703
1440,704
1441,705
1444,706
1445,707
1447,708
1448,709
1449,710
1450,711
1451,712
1452,713
1453,714
1454,715
1455,716
1458,717
1459,718
1460,719
1461,720
1462,721
1463,722
1464,723
1465,724
1466,725
1468,726
1469,727
1470,728
1471,729
1472,730
1473,731
1474,732
1475,733
1476,734
1477,735
1478,736
1479,737
1480,738
1481,739
1482,740
1483,741
1484,742
1485,743
1486,744
1489,745
1490,746
1491,747
1492,748
1493,749
1494,750
1495,751
1496,752
1497,753
1498,754
1499,755
1501,756
1502,757
1503,758
1504,759
1505,760
1506,761
1510,762
1511,763
1512,764
1513,765
1514,766
1515,767
1516,768
1517,769
1519,770
1520,771
1521,772
1522,773
1526,774
1528,775
1529,776
1530,777
1531,778
1532,779
1556,780
1557,781
1558,782
1559,783
1560,784
1561,785
1562,786
1563,787
1564,788
1565,789
1566,790
1567,791
1568,792
1569,793
1570,794
1571,795
1572,796
1574,797
1575,798
1576,799
1577,800
1578,801
1579,802
1580,803
1581,804
1582,805
1583,806
1584,807
1585,808
1586,809
1587,810
1588,811
1589,812
1590,813
1591,814
1592,815
1593,816
1595,817
1596,818
1597,819
1598,820
1599,821
1600,822
1601,823
1602,824
1603,825
1604,826
1605,827
1606,828
1607,829
1608,830
1609,831
1610,832
1611,833
1612,834
1613,835
1614,836
1616,837
1617,838
1618,839
1619,840
1620,841
1621,842
1622,843
1623,844
1624,845
1626,846
1628,847
1629,848
1631,849
1633,850
1634,851
1635,852
1637,853
1639,854
1640,855
1641,856
1642,857
1643,858
1644,859
1645,860
1646,861
1648,862
1649,863
1650,864
1651,865
1652,866
1653,867
1654,868
1655,869
1656,870
1657,871
1658,872
1659,873
1660,874
1661,875
1662,876
1663,877
1664,878
1665,879
1666,880
1667,881
1668,882
1669,883
1670,884
1671,885
1672,886
1673,887
1675,888
1676,889
1677,890
1679,891
1680,892
1681,893
1682,894
1683,895
1685,896
1686,897
1687,898
1688,899
1689,900
1690,901
1691,902
1692,903
1693,904
1694,905
1695,906
1696,907
1697,908
1698,909
1699,910
1702,911
1703,912
1704,913
1705,914
1707,915
1708,916
1709,917
1710,918
1711,919
1712,920
1713,921
1714,922
1715,923
